doctor_id,publish_organ,relationships
1,深圳市卫生和计划生育委员会,publishedBy
2,深圳市卫生和计划生育委员会,publishedBy
3,深圳市卫生和计划生育委员会,publishedBy
4,深圳市卫生和计划生育委员会,publishedBy
5,深圳市卫生和计划生育委员会,publishedBy
6,深圳市卫生和计划生育委员会,publishedBy
7,深圳市卫生和计划生育委员会,publishedBy
8,深圳市卫生和计划生育委员会,publishedBy
9,深圳市卫生和计划生育委员会,publishedBy
10,深圳市卫生和计划生育委员会,publishedBy
11,深圳市卫生和计划生育委员会,publishedBy
12,深圳市卫生和计划生育委员会,publishedBy
13,深圳市卫生和计划生育委员会,publishedBy
14,深圳市卫生和计划生育委员会,publishedBy
15,深圳市卫生和计划生育委员会,publishedBy
16,深圳市卫生和计划生育委员会,publishedBy
17,深圳市卫生和计划生育委员会,publishedBy
18,深圳市卫生和计划生育委员会,publishedBy
19,深圳市卫生和计划生育委员会,publishedBy
20,深圳市卫生和计划生育委员会,publishedBy
21,深圳市卫生和计划生育委员会,publishedBy
22,深圳市卫生和计划生育委员会,publishedBy
23,深圳市卫生和计划生育委员会,publishedBy
24,深圳市卫生和计划生育委员会,publishedBy
25,深圳市卫生和计划生育委员会,publishedBy
26,深圳市卫生和计划生育委员会,publishedBy
27,深圳市卫生和计划生育委员会,publishedBy
28,深圳市卫生和计划生育委员会,publishedBy
29,深圳市卫生和计划生育委员会,publishedBy
30,深圳市卫生和计划生育委员会,publishedBy
31,深圳市卫生和计划生育委员会,publishedBy
32,深圳市卫生和计划生育委员会,publishedBy
33,深圳市卫生和计划生育委员会,publishedBy
34,深圳市卫生和计划生育委员会,publishedBy
35,深圳市卫生和计划生育委员会,publishedBy
36,深圳市卫生和计划生育委员会,publishedBy
37,深圳市卫生和计划生育委员会,publishedBy
38,深圳市卫生和计划生育委员会,publishedBy
39,深圳市卫生和计划生育委员会,publishedBy
40,深圳市卫生和计划生育委员会,publishedBy
41,深圳市卫生和计划生育委员会,publishedBy
42,深圳市卫生和计划生育委员会,publishedBy
43,深圳市卫生和计划生育委员会,publishedBy
44,深圳市卫生和计划生育委员会,publishedBy
45,深圳市卫生和计划生育委员会,publishedBy
46,深圳市卫生和计划生育委员会,publishedBy
47,深圳市卫生和计划生育委员会,publishedBy
48,深圳市卫生和计划生育委员会,publishedBy
49,深圳市卫生和计划生育委员会,publishedBy
50,深圳市卫生和计划生育委员会,publishedBy
51,深圳市卫生和计划生育委员会,publishedBy
52,深圳市卫生和计划生育委员会,publishedBy
53,深圳市卫生和计划生育委员会,publishedBy
54,深圳市卫生和计划生育委员会,publishedBy
55,深圳市卫生和计划生育委员会,publishedBy
56,深圳市卫生和计划生育委员会,publishedBy
57,深圳市卫生和计划生育委员会,publishedBy
58,深圳市卫生和计划生育委员会,publishedBy
59,深圳市卫生和计划生育委员会,publishedBy
60,深圳市卫生和计划生育委员会,publishedBy
61,深圳市卫生和计划生育委员会,publishedBy
62,深圳市卫生和计划生育委员会,publishedBy
63,深圳市卫生和计划生育委员会,publishedBy
64,深圳市卫生和计划生育委员会,publishedBy
65,深圳市卫生和计划生育委员会,publishedBy
66,深圳市卫生和计划生育委员会,publishedBy
67,深圳市卫生和计划生育委员会,publishedBy
68,深圳市卫生和计划生育委员会,publishedBy
69,深圳市卫生和计划生育委员会,publishedBy
70,深圳市卫生和计划生育委员会,publishedBy
