publish_org,nurse_id,relationship,publish_date
深圳市龙岗区卫生和计划生育局,89,publishedBy,2017-03-10
深圳市卫生和计划生育委员会,90,publishedBy,2018-07-23
深圳市卫生和计划生育委员会,91,publishedBy,2018-11-06
深圳市宝安区卫生和计划生育局,92,publishedBy,2018-01-18
深圳市卫生和计划生育委员会,93,publishedBy,2018-08-07
深圳市卫生和计划生育委员会,94,publishedBy,2018-08-07
深圳市卫生和计划生育委员会,95,publishedBy,2018-07-26
深圳市卫生和计划生育委员会,96,publishedBy,2018-08-07
深圳市卫生和计划生育委员会,97,publishedBy,2018-11-16
深圳市宝安区卫生和计划生育局,98,publishedBy,2018-11-30
深圳市宝安区卫生和计划生育局,99,publishedBy,2018-08-03
深圳市宝安区卫生和计划生育局,100,publishedBy,2018-06-29
深圳市卫生和计划生育委员会,101,publishedBy,2018-11-06
深圳市卫生和计划生育委员会,102,publishedBy,2018-11-16
深圳市宝安区卫生和计划生育局,103,publishedBy,2018-11-29
深圳市卫生和计划生育委员会,104,publishedBy,2015-09-18
深圳市卫生和计划生育委员会,105,publishedBy,2018-08-03
深圳市卫生和计划生育委员会,106,publishedBy,2014-01-12
深圳市卫生和计划生育委员会,107,publishedBy,2014-01-21
深圳市卫生和计划生育委员会,108,publishedBy,2018-07-02
深圳市卫生和计划生育委员会,109,publishedBy,2018-08-02
深圳市卫生和计划生育委员会,110,publishedBy,2018-08-02
深圳市卫生和计划生育委员会,111,publishedBy,2018-10-22
深圳市卫生和计划生育委员会,112,publishedBy,2015-06-10
深圳市龙岗区卫生和计划生育局,113,publishedBy,2018-03-28
深圳市龙岗区卫生和计划生育局,114,publishedBy,2018-09-21
深圳市龙岗区卫生和计划生育局,115,publishedBy,2015-06-18
深圳市卫生和计划生育委员会,116,publishedBy,2018-10-22
深圳市卫生和计划生育委员会,117,publishedBy,2018-11-14
深圳市龙岗区卫生和计划生育局,118,publishedBy,2018-11-28
深圳市卫生和计划生育委员会,119,publishedBy,2018-11-01
深圳市卫生和计划生育委员会,120,publishedBy,2014-04-11
深圳市龙岗区卫生和计划生育局,121,publishedBy,2013-12-31
深圳市卫生和计划生育委员会,122,publishedBy,2018-11-01
深圳市卫生和计划生育委员会,123,publishedBy,2008-12-31
深圳市卫生和计划生育委员会,124,publishedBy,2018-11-01
深圳市卫生和计划生育委员会,125,publishedBy,2018-07-03
深圳市卫生和计划生育委员会,126,publishedBy,2017-11-23
深圳市卫生和计划生育委员会,127,publishedBy,2018-04-10
深圳市宝安区卫生和计划生育局,128,publishedBy,2015-02-16
深圳市宝安区卫生和计划生育局,129,publishedBy,2018-05-30
深圳市卫生和计划生育委员会,130,publishedBy,2018-07-03
深圳市卫生和计划生育委员会,131,publishedBy,2018-08-07
深圳市卫生和计划生育委员会,132,publishedBy,2018-08-20
深圳市卫生和计划生育委员会,133,publishedBy,2018-08-03
深圳市卫生和计划生育委员会,134,publishedBy,2018-08-20
深圳市宝安区卫生和计划生育局,135,publishedBy,2018-11-15
深圳市卫生和计划生育委员会,136,publishedBy,2018-08-20
深圳市卫生和计划生育委员会,137,publishedBy,2018-11-14
深圳市卫生和计划生育委员会,138,publishedBy,2017-11-30
深圳市卫生和计划生育委员会,139,publishedBy,2018-08-02
深圳市卫生和计划生育委员会,140,publishedBy,2017-12-26
深圳市龙岗区卫生和计划生育局,141,publishedBy,2017-04-07
深圳市龙岗区卫生和计划生育局,142,publishedBy,2013-12-31
深圳市卫生和计划生育委员会,143,publishedBy,2017-11-23
深圳市卫生和计划生育委员会,144,publishedBy,2018-08-02
深圳市卫生和计划生育委员会,145,publishedBy,2015-06-26
深圳市龙岗区卫生和计划生育局,146,publishedBy,2013-12-31
深圳市龙岗区卫生和计划生育局,147,publishedBy,2013-12-31
深圳市龙岗区卫生和计划生育局,148,publishedBy,2017-04-24
深圳市卫生和计划生育委员会,149,publishedBy,2018-07-25
深圳市卫生和计划生育委员会,150,publishedBy,2018-11-01
深圳市卫生和计划生育委员会,151,publishedBy,2018-07-23
深圳市宝安区卫生和计划生育局,152,publishedBy,2016-10-24
深圳市卫生和计划生育委员会,153,publishedBy,2018-01-31
深圳市宝安区卫生和计划生育局,154,publishedBy,2013-12-31
深圳市宝安区卫生和计划生育局,155,publishedBy,2015-11-12
深圳市卫生和计划生育委员会,156,publishedBy,2018-11-15
深圳市宝安区卫生和计划生育局,157,publishedBy,2018-11-21
深圳市宝安区卫生和计划生育局,158,publishedBy,2013-12-31
深圳市卫生和计划生育委员会,159,publishedBy,2018-08-20
深圳市卫生和计划生育委员会,160,publishedBy,2018-08-20
深圳市宝安区卫生和计划生育局,161,publishedBy,2017-03-20
深圳市卫生和计划生育委员会,162,publishedBy,2018-08-20
深圳市宝安区卫生和计划生育局,163,publishedBy,2018-08-14
深圳市卫生和计划生育委员会,164,publishedBy,2014-05-23
深圳市卫生和计划生育委员会,165,publishedBy,2018-10-18
深圳市卫生和计划生育委员会,166,publishedBy,2018-07-25
深圳市龙岗区卫生和计划生育局,167,publishedBy,2013-12-31
深圳市卫生和计划生育委员会,168,publishedBy,2014-07-22
深圳市龙岗区卫生和计划生育局,169,publishedBy,2018-11-22
深圳市龙岗区卫生和计划生育局,170,publishedBy,2014-12-15
深圳市卫生和计划生育委员会,171,publishedBy,2018-06-01
深圳市卫生和计划生育委员会,172,publishedBy,2018-08-02
深圳市卫生和计划生育委员会,173,publishedBy,2008-12-31
深圳市龙岗区卫生和计划生育局,174,publishedBy,2018-11-13
深圳市卫生和计划生育委员会,175,publishedBy,2018-08-02
深圳市龙岗区卫生和计划生育局,176,publishedBy,2018-06-27
深圳市卫生和计划生育委员会,177,publishedBy,2018-08-02
深圳市卫生和计划生育委员会,178,publishedBy,2018-11-01
深圳市卫生和计划生育委员会,179,publishedBy,2018-11-01
深圳市卫生和计划生育委员会,180,publishedBy,2018-11-01
深圳市卫生和计划生育委员会,181,publishedBy,2018-08-02
深圳市卫生和计划生育委员会,182,publishedBy,2018-08-02
深圳市卫生和计划生育委员会,183,publishedBy,2018-09-28
深圳市卫生和计划生育委员会,184,publishedBy,2018-08-07
深圳市卫生和计划生育委员会,185,publishedBy,2018-10-18
深圳市宝安区卫生和计划生育局,186,publishedBy,2018-03-26
深圳市卫生和计划生育委员会,187,publishedBy,2018-07-25
深圳市宝安区卫生和计划生育局,188,publishedBy,2015-03-11
深圳市宝安区卫生和计划生育局,189,publishedBy,2016-04-22
深圳市卫生和计划生育委员会,190,publishedBy,2018-11-06
深圳市卫生和计划生育委员会,191,publishedBy,2018-10-18
深圳市宝安区卫生和计划生育局,192,publishedBy,2015-12-15
深圳市卫生和计划生育委员会,193,publishedBy,2018-08-08
深圳市卫生和计划生育委员会,194,publishedBy,2017-07-27
深圳市宝安区卫生和计划生育局,195,publishedBy,2018-08-20
深圳市卫生和计划生育委员会,196,publishedBy,2018-11-16
深圳市宝安区卫生和计划生育局,197,publishedBy,2013-12-31
深圳市卫生和计划生育委员会,198,publishedBy,2018-11-07
深圳市龙岗区卫生和计划生育局,199,publishedBy,2018-01-02
深圳市龙岗区卫生和计划生育局,200,publishedBy,2018-11-09
深圳市卫生和计划生育委员会,201,publishedBy,2018-08-02
深圳市卫生和计划生育委员会,202,publishedBy,2018-04-17
深圳市卫生和计划生育委员会,203,publishedBy,2018-08-02
深圳市龙岗区卫生和计划生育局,204,publishedBy,2018-09-29
深圳市卫生和计划生育委员会,205,publishedBy,2014-10-16
深圳市卫生和计划生育委员会,206,publishedBy,2017-10-23
深圳市龙岗区卫生和计划生育局,207,publishedBy,2018-09-26
深圳市卫生和计划生育委员会,208,publishedBy,2018-03-16
深圳市卫生和计划生育委员会,209,publishedBy,2010-08-26
深圳市卫生和计划生育委员会,210,publishedBy,2018-11-01
深圳市龙岗区卫生和计划生育局,211,publishedBy,2016-03-11
深圳市卫生和计划生育委员会,212,publishedBy,2018-11-01
深圳市卫生和计划生育委员会,213,publishedBy,2018-08-07
深圳市卫生和计划生育委员会,214,publishedBy,2018-08-08
深圳市卫生和计划生育委员会,215,publishedBy,2018-08-07
深圳市卫生和计划生育委员会,216,publishedBy,2018-11-15
深圳市卫生和计划生育委员会,217,publishedBy,2018-10-18
深圳市卫生和计划生育委员会,218,publishedBy,2017-07-20
深圳市卫生和计划生育委员会,219,publishedBy,2018-08-07
深圳市卫生和计划生育委员会,220,publishedBy,2018-08-20
深圳市卫生和计划生育委员会,1,publishedBy,2018-08-08
深圳市宝安区卫生和计划生育局,2,publishedBy,2016-10-10
深圳市卫生和计划生育委员会,3,publishedBy,2014-01-24
深圳市宝安区卫生和计划生育局,4,publishedBy,2016-12-06
深圳市卫生和计划生育委员会,5,publishedBy,2018-11-08
深圳市卫生和计划生育委员会,6,publishedBy,2018-08-07
深圳市宝安区卫生和计划生育局,7,publishedBy,2017-12-14
深圳市卫生和计划生育委员会,8,publishedBy,2018-07-25
深圳市宝安区卫生和计划生育局,9,publishedBy,2018-03-28
深圳市宝安区卫生和计划生育局,10,publishedBy,2018-01-09
深圳市卫生和计划生育委员会,11,publishedBy,2018-09-06
深圳市宝安区卫生和计划生育局,12,publishedBy,2018-10-23
深圳市卫生和计划生育委员会,13,publishedBy,2018-11-16
深圳市卫生和计划生育委员会,14,publishedBy,2017-11-23
深圳市卫生和计划生育委员会,15,publishedBy,2017-11-22
深圳市龙岗区卫生和计划生育局,16,publishedBy,2014-02-11
深圳市卫生和计划生育委员会,17,publishedBy,2015-07-07
深圳市龙岗区卫生和计划生育局,18,publishedBy,2018-11-13
深圳市卫生和计划生育委员会,19,publishedBy,2018-11-01
深圳市龙岗区卫生和计划生育局,20,publishedBy,2017-10-26
深圳市卫生和计划生育委员会,21,publishedBy,2014-03-13
深圳市龙岗区卫生和计划生育局,22,publishedBy,2014-03-11
深圳市卫生和计划生育委员会,23,publishedBy,2018-04-17
深圳市龙岗区卫生和计划生育局,24,publishedBy,2014-09-29
深圳市卫生和计划生育委员会,25,publishedBy,2015-12-24
深圳市龙岗区卫生和计划生育局,26,publishedBy,2015-10-10
深圳市卫生和计划生育委员会,27,publishedBy,2014-03-27
深圳市卫生和计划生育委员会,28,publishedBy,2018-11-01
深圳市龙岗区卫生和计划生育局,29,publishedBy,2014-08-20
深圳市龙岗区卫生和计划生育局,30,publishedBy,2014-05-21
深圳市卫生和计划生育委员会,31,publishedBy,2018-08-07
深圳市卫生和计划生育委员会,32,publishedBy,2018-11-15
深圳市卫生和计划生育委员会,33,publishedBy,2018-07-03
深圳市卫生和计划生育委员会,34,publishedBy,2018-08-07
深圳市卫生和计划生育委员会,35,publishedBy,2018-11-15
深圳市宝安区卫生和计划生育局,36,publishedBy,2018-09-11
深圳市宝安区卫生和计划生育局,37,publishedBy,2017-12-27
深圳市卫生和计划生育委员会,38,publishedBy,2018-08-08
深圳市卫生和计划生育委员会,39,publishedBy,2018-08-20
深圳市卫生和计划生育委员会,40,publishedBy,2018-08-07
深圳市宝安区卫生和计划生育局,41,publishedBy,2018-04-13
深圳市宝安区卫生和计划生育局,42,publishedBy,2018-11-06
深圳市卫生和计划生育委员会,43,publishedBy,2018-08-07
深圳市卫生和计划生育委员会,44,publishedBy,2013-12-31
深圳市卫生和计划生育委员会,45,publishedBy,2018-11-06
深圳市龙岗区卫生和计划生育局,46,publishedBy,2017-08-24
深圳市龙岗区卫生和计划生育局,47,publishedBy,2013-11-29
深圳市龙岗区卫生和计划生育局,48,publishedBy,2018-11-29
深圳市卫生和计划生育委员会,49,publishedBy,2018-09-20
深圳市卫生和计划生育委员会,50,publishedBy,2018-03-16
深圳市龙岗区卫生和计划生育局,51,publishedBy,2018-04-20
深圳市卫生和计划生育委员会,52,publishedBy,2008-12-31
深圳市卫生和计划生育委员会,53,publishedBy,2013-12-31
深圳市龙岗区卫生和计划生育局,54,publishedBy,2013-12-31
深圳市卫生和计划生育委员会,55,publishedBy,2017-11-21
深圳市卫生和计划生育委员会,56,publishedBy,2018-07-23
深圳市卫生和计划生育委员会,57,publishedBy,2018-10-16
深圳市龙岗区卫生和计划生育局,58,publishedBy,2018-11-16
